WORD,ANG. SPEL.,MEANING,KIND,FOREBEAR,FROM,NOTES,TAGS
sile,,᛫ a necklace ᛫ a collar ᛫,N,sigle,OE,,
Siler,,᛫ a sub-Saharan African ᛫ a Nubian ᛫ an Ethiopian ᛫ a Cushite ᛫,N(P),sigelwara,OE,,
Silerland,,᛫ sub-Saharan Africa ᛫ Nubia ᛫ Ethiopia ᛫ Cush ᛫,N(P),sigelwara+land,OE+NE,,
silewharve,silehƿarf,᛫ a heliotrope flower ᛫,N,sigelhweorfa,OE,,
sill,,᛫ a foundation beam ᛫ a slab at the foot of an opening ᛫,N,sill&syll,NE&OE,found in: windowsill,
sillen,,᛫ a gift ᛫ a donation ᛫,N,silen&selen/sylen,ME&OE,,
silverking,silferking,᛫ a Megalops fish ( a tarpon ) ᛫,N,~,NE,,
silvern,silfern,᛫ made of silver ᛫,AJ,~,NE,,
silverside,silferside,᛫ an Atheriniformes fish ᛫,N,~,NE,,
silverthaw,silferþaƿ,᛫ verglas ᛫ glaze ice ᛫,N,~,NE,,
silverware,silferƿare,᛫ dishes containers or cutlery made of or coated with silver ᛫ eating and serving utensils made of any material ᛫ cutlery ᛫,N,~,NE,,
simble,simbel,᛫ continually ᛫ continuously ᛫,AV,simble[simbel],ME,,
simble,simbel,᛫ a feast ᛫ a banquet ᛫ a festival ᛫ a symposium ᛫ a party [ᚹ] ᛭ to feast ᛫,N᛭V,symbel&symblan,OE&OE,kin: symposium (Greek)?,
simbleday,simbeldag,᛫ a feast day ᛫ a festival day ᛫,N,symbeldæg,OE,,
simblely,simbelig,᛫ festive ᛫,AJ,symbellīc,OE,,
simbleness,simbelness,᛫ festivity ᛫,N,symbelness,OE,,
simbletide,simbeltide,᛫ a festival period ᛫,N,symbeltīd,OE,,
sinagog,,᛫ a synagogue ᛫,N,sinagō̆g[sinagoga],ME,,
sinboot,,᛫ amends for sin ᛫ penance ᛫,N,synbōt,OE,,
since,sins,᛫ because ᛫,C,~,NE,,
sind,,᛫ are ( plural only ) ᛫,V,sind[sind],ME,ARCHAIC & NOT RECOMMENDED,
Sine,,᛫ Seine ( river in France ) ᛫,N(P),Sigen,OE,from the Anglo Saxon Chronicle,
sine,,᛫ his ᛫ her ᛫ its ᛫ their ᛫,N(PRO),sīn,OE,optional pronoun,
sinew,sineƿ,᛫ a tendon ᛫ a nerve ᛫,N,~,NE,,
sinewy,sineƿig,᛫ strong ᛫ muscular ᛫,AJ,~,NE,,
singale,,᛫ continuous ᛫ continual ᛫,AJ,singāle&singal,ME&OE,"""sin-gale"" not ""sing-ale""",
singaleness,,᛫ perseverance ᛫ constancy ᛫,N,singalness,OE,,
singe,,᛫ to slightly burn ᛫,V,~,NE,,
singsong,,᛫ a simple and melodic verse ᛫ bad poetry or music ᛭ to make bad music or poetry ᛭ simple and melodic ᛫,N᛭V᛭AJ,~,NE,,
sink,,᛫ treasure ( like gold and jewels ) ᛫,N,sinc,OE,,
sink,,᛫ a cesspool ᛫ cesspit ᛫ a rubbish pit ᛫ a pit for sewage ᛫ a receptacle for water ᛫ a basin ᛫ a laver ᛫ an oil lamp well ᛫,N,sink,ME,"from verb ""sinken""",
sinkgiver,sinkgifer,᛫ treasure-giver ( a lord who rewards his thanes ) ᛫,N,sincgiefa,OE,un-Norse: sinkyeaver/sinkgeefer,
sinkroom,,᛫ a scullery ᛫ a back kitchen ᛫,N,sink-room,NE,or: dishroom; washroom,
sinkstone,,᛫ a jewel ᛫,N,sincstān,OE,,
sinkvat,sinkfatt,᛫ a receptacle for treasure a casket ᛫,N,sincfæt,OE,,
sint,,᛫ soundness ᛫,N,gesynto,OE,kin: sound,
sinwelt,sinƿelt,᛫ round ᛫ circular ᛫ cylindrical ᛫,AJ,sinewealt&seonuwealt,ME&OE,literally: ever-rolled?,
sir,,᛫ to plan ᛫ to plot ᛫ to devise ᛫ to machinate ᛫,V,sirwen&sirwan,ME&OE,kin: searu,
siring,,᛫ buttermilk ᛫,N,sȳring,OE,,
sister,,᛫ a female member of a religious order ᛫,N,~,NE,,
sisterhood,,᛫ a sorority ᛫,N,~,NE,,
sisterly,sisterlig,᛫ sororal ᛫,AJ,~,NE,,
sitch,sic,᛫ a stream ᛫ a ditch ᛫ the side of a field ᛫,N,sī̆ch[sīc],ME,or: sike (northern variant),
sitfast,,᛫ firmly stationary ᛫,AJ,~,NE,,
sithe,siðe,᛫ a journey ᛫ one's journey through life ᛫ an occasion ᛫ a point in time ᛭ to journey ᛫ to travel ᛫,N᛭V,sīth,ME,,
sithe,siðe,᛫ after ᛫,P&C,sīþ,OE,,
sithe,siðe,᛫ a fellow ᛫ a companion ᛫,N,gesīþa,OE,,
sithefat,siðefat,᛫ a passage ᛫ a journey ᛫ a road ᛫ a path ᛫ a course ᛫,N,siþfæt,OE,,
sithen,siðen,᛫ since then ᛫ after that ᛫ after then ᛫,C,~,NE,"or: sithens; sith ᛫ ""since"" is a short version of this word",
sithes,siðes,᛫ multiplied by ᛫,P,sīthes,ME,kin: sīth,
sitheship,siðescip,᛫ a society ᛫ a fellowship ᛫ fellowship ᛫ companionship ᛫,N,gesīþscipe,OE,,
sittingroom,,᛫ a parlour ᛫ a lounge ᛫,N,sitting-room,NE,,
siver,sifer,᛫ sober ᛫ not giving way to appetite or passion ᛫ circumspect ᛫ ,AJ,sȳfre[sōbrius],OE‹I,,
sivestone,sifestone,᛫ tufa ᛫,N,seive-stone,ANE,rhyme: give stone,
sixfold,,᛫ sextuple ᛫,AJ᛭AV,~,NE,[OED],
sixsome,sixsum,᛫ a sextet ᛫ a hexad ᛫,N,~,NE,[OED],
sixth,sixð,᛫ a sext ( music ) ᛫ a hexachord ᛫,N,~,NE,[OED],
skeel,,"᛫ a vessel such as a bucket , a tub , or a vat used to hold liquid ᛫",N,skẹ̄le,ME‹N,kin: skjōla,
skent,,᛫ to entertain ᛫ to amuse ᛫,V,skenten,ME‹N,kin: skemmta (N),
skep,,᛫ a hive ( especially one made of straw ) ᛫ a basket of wickerwork or straw ᛫,N,~,NE‹ME‹N,,
skill,,᛫ to distinguish ᛫,V,skillen,ME‹N,,
skimp,,᛫ to economize ᛫ to be stingy ᛫ to be sparing of ᛫,V,~,NE,,
skindeep,,᛫ superficial ᛫,AJ,skindeep,NE‹(N+E),or: hidedeep (skin is Norse),
skinflint,,᛫ a miser ᛫,N,~,NE‹(N+E),,
skinship,skinscip,᛫ bonding through physical contact ᛫,N,skin+ship,NE‹N+NE,calque: スキンシップ,
skool,,᛫ a school ( in all senses ) ᛫,N,scọ̄le[scōl],ME,,
skoolman,scoolman,᛫ a professor ᛫,N,[scolmann],NE,,
skyline,skieline,᛫ the horizon ᛫,N,~,NE‹(N+E),,
slack,,᛫ loose ᛫ sluggish ᛫ lazy ᛫,AJ,~,NE,,
slacken,,᛫ to make or become slack ᛫ to loosen ᛫,V,~,NE,,
slade,,᛫ a dingle ( a small wooded valley ) ᛫ a small valley ᛫,N,~[slā̆de][slæd/sled],NE,,
slail,slagl,᛫ a pick ( plectrum ) ᛫,N,slegel,OE,,
slake,,᛫ to slacken ᛫ to become less energetic ᛫ to weaken ᛫ to decrease ᛫ to become extinct ᛫ to quench ᛫ to cool with liquid ᛫,V,~,NE,,
slaked lime,,᛫ calcium hydroxide ᛫ hydrated lime ᛫,N,~,NE,,
slang,,᛫ jargon ᛫,N,~,NE,,
slaught,slaugt,᛫ a slaughter ᛫,N,slaught,ME,kin: slay ᛫ Slaughter is Norse,
slaughthouse,slaugthuse,᛫ slaughterhouse ᛫,N,slaught+house,NE×2,,
slay,slag,᛫ to kill ᛫,V,~,NE,,
slayer,slager,᛫ a killer ᛫,N,~,NE,,
sleat,,᛫ to drive game ᛫ to chase down ᛫,V,slēten[slǣtan],ME,,
sleave,sleaf,᛫ to separate threads ᛫ to divide ᛫,V,sleave[slǣfan],NE,[MW],
sledge,sledg,᛫ a toboggan ᛫ a sleigh ᛫,N,~,NE,,
sledgeaxe,sledgaxe,᛫ a splitting maul ᛫,N,~,NE,,
sleepern,,᛫ a dorter ᛫ a dormitory ᛫,N,slǣpærn,OE,,
sleeplessness,,᛫ insomnia ᛫,N,~,NE,,
sleepwalk,sleepƿalk,᛫ to somnambulate ᛫,V,~,NE,[OED],
sleepwalker,sleepƿalker,᛫ a somnambulist ᛫ a somnambulator ᛫ a somnambule ᛫,N,~,NE,[OED],
sleepwalking,sleepƿalking,᛫ somnambulation ᛫ somnambulency ᛫,N,~,NE,[OED],
sleepwear,sleepƿear,᛫ pajamas ᛫ pyjamas ᛫,N,~,NE,[OED],
sleepwort,sleepƿurt,᛫ lettuce ᛫,N,~,ANE,[OED],
sleepy,sleepig,᛫ soporific ᛫,AJ,~,NE,,
sleevefish,sleefefisc,᛫ a squid ᛫,N,sleeve-fish,NE,or: seasleeve,
sleight,sleigt,᛫ dexterity or cunning ( esp for deception ) ᛫,N,~,NE‹N,rhyme: bright,
sleight of hand,sleigt,᛫ legerdemain ᛫,N,~,NE,,
sletch,slec,᛫ to ease ᛫ to relieve ᛫ to relax ᛫,V,slechen[gesleccan],ME,,
slew,sleƿ,᛫ a Mugilidae fish ( a mullet ) ᛫,N,slīw,OE,,
slick,,᛫ a film of oil ᛭ smooth wet and slippery ᛫,N᛭AJ,~,NE,,
slicked,,᛫ lubricated ᛫ oiled ᛫,AJ,~,NE,,
slidder,,᛫ slippery ᛫ uncertain ᛫ duplicitous ᛫ treacherous ᛫,AJ,slider,ME,,
slike,,᛫ to smoothen ᛫ to polish ᛫ to flatter ᛫,V,slīke[slīcian],ME,,
slipup,,᛫ to err ᛫ to make a mistake ᛫,V,~,NE,,
slite,,᛫ deterioration ᛫,N,~[slītan],NE,,
slithe,sliðe,᛫ dire ᛫ dangerous perilous ᛫,AJ,slīþe,OE,,
slithers,sliðers,᛫ scree ᛫,N,sclithers,NE,"[OED] ᛫ ""scree"" is Norse?",
slive,slife,᛫ to cut a sliver off something ᛫ to cut ᛫ to slice ᛫,V,~,NE,rhyme: dive,
sliver,slifer,᛫ a small slice ᛫ a small fraction of something ᛫,N,~,NE,,
sloom,,᛫ gentle sleep ᛫,N,~,NE,,
sloppy,sloppig,᛫ messy ᛫,AJ,~,NE,,
slot,,᛫ a musical clef [ᚹ] ᛫,N,~,NE‹NL/LG,calque: Schlüssel; sleutel,
sloth,sloð,᛫ laziness ᛫,N,~,NE,,
slothful,sloðful,᛫ lazy ᛫,AJ,~,NE,,
slouch,sluce,᛫ a lubber ᛫ a lout ᛫ a slacker ᛭ to walk in a stooping way ᛫ to pull one's hat or hood into one's face to conceal it ᛫,N᛭V,~,NE,,
slough,sluge,"᛫ an area of soft , muddy ground ᛫ a swamp ᛫ a bog ᛫ a hole full of mire ᛫",N,[slōh],NE,rhyme: plough,
slough ,sluge,᛫ discarded skin ᛭ to shed skin ᛫ to shed ᛫ to discard ᛫,N᛭V,~,NE,rhyme: tough,
slowheart,sloƿheart,᛫ bradycardia ᛫,N,slow+heart,NE×2,calque: bradycardia,
slur,,᛫ an insult ᛭ to insult ᛫,N᛭V,~,NE,,
smack,,᛫ heroin ᛫,N,~[schmeck],NE‹HG,,
smack,,᛫ a taste ᛭ to taste ᛫,N᛭V,~,NE‹NL?,see: smatch ᛫ ,
smack of,,᛫ to taste of ᛫ to come across as ᛫,V,~,NE‹NL?,,
smackbound,smackbund,᛫ bound to taste or opinion ᛫ subjective ᛫,AJ,smack+bound,NE,,
small,,᛫ miniature ᛫ diminutive ᛫ petite ᛫ unimportant ᛫,AJ,~,NE,,
smallminded,,᛫ petty ᛫ having narrow interests sympathies or outlook ᛫ narrow-minded ᛫,AJ,~,NE,,
smaragdin,,᛫ an emerald ᛫,N,smaragdī̆n[smaragdinus],ME‹I,or: greenyim (coined for Anglish),
smart,,᛫ pain ᛭ to hurt ᛫ to pain ᛭ sharp ᛫ sharp minded ᛫ intelligent ᛫,N᛭V᛭AJ,~,NE,,
smartful,,᛫ painful ᛫,AJ,~,NE,,
smarting,,᛫ suffering ᛫,AJ,~,NE,,
smarts,,᛫ intelligence ᛫ know-how ᛫ a kind of cunning in a particular field ᛫,N,~,NE,,
smatch,smac,᛫ a taste ᛫ a slight trace ᛭ to taste ᛫,N᛭V,smatch&smach&smacchen,NE&ME&ME,see: smack,
smatch of,smac,᛫ to taste of ᛫ to come across as ᛫,V,smacchen of,ME,,
smatter,,᛫ a slight superficial knowledge of subject ᛭ a small amount of something ᛫,N᛭V,~,NE,,
smear,,᛫ to smear ᛫ to anoint ᛫,V,smear&ismēren,NE&ME,,
smearle,smearel,᛫ an unguent ᛫ an ointment ᛫ an unction ᛫ a salve ᛫,N,smē̆rels,ME,,
smeat,,᛫ refined ( of gold ) ᛫ refined ( by extension ) ᛫,AJ,smeat/smēte,ME,,
smeddum,,᛫ powder ( esp fine powder ) ᛫ fine flour ᛫,N,~[smeodoma],NE,,
smeech,smeec,᛫ smoke ᛫ dense vapour ᛭ to emit smoke ᛫ to emit vapor ᛫,V,~,NE,,
smeek,,᛫ to fumigate ᛫,V,~,NE,kin: smoke,
smeeth,smeeð,᛫ to become smooth ᛫ to make smooth ᛫ to expedite [ᚹ] ᛫,V,smethen,ME,kin: smooth,
smellbrain,smellbragn,᛫ the rhinencephalon ᛫,N,smellbrain,NE,,
smey,smeg,᛫ to scrutinize ᛫ to investigate ᛫ to meditate on [ᚾ] ᛫ to ponder [ᚾ] ᛫,V,smēȝen[smeagan],ME,,
smeying,smeging,᛫ an investigation ᛫ a study ᛫ an inquiry ᛫,N,smeaȝunge,ME,,
smicker,,᛫ elegant ᛫ fine ᛫ beautiful ᛫,AJ,~[smiker][smicer],NE,,
smile,,᛫ a burrow ᛫ a hollow ᛫ a cuniculus ᛫ a place to creep into ᛫ a smial ( a Hobbit-hole ) ᛫,N,smygel,OE,,
smilt,,᛫ calm ᛫ serene ᛫ tranquil ᛫ placid ᛫,AJ,smilte&smylte,ME&OE,,
smiltness,,᛫ calmness ᛫ serenity ᛫ tranquillity ᛫ peace ᛫,N,smyltness,OE,,
smirk,,᛫ a smile ᛭ to smile ᛫,N᛭V,~[smirken][smearcian],NE,,
smit,,᛫ to contaminate ᛫ to infect ᛫ to stain ᛫ to tarnish ᛫ to sully ᛫,V,~[smitten][smittian],NE,,
smite,,᛫ to strike hard ᛫ to defeat ᛫,V,~,NE,PST: smote ᛫ PTCP: smitten,
smith,smið,᛫ a worker in metal ᛭ to treat metal by heating hammering and forging it ᛫,N᛭V,smith,NE,,
smithe,smiðe,᛫ a smithy ᛫ a blacksmith's workshop ᛫,N,smithe[smiþþe],ME,,
smithy,smiðig,᛫ a forge ᛫ the workshop of a smith ᛫,N,smithy,NE,,
smitting,,᛫ infectious ᛫ contagious ᛫,AJ,~,NE,,
smittle,smittel,᛫ infectious ᛫,AJ,~,NE,Scottish,
smock,,᛫ a chemise ᛫ a blouse ( esp a long one ) ᛫ a loose overall which protects one's clothes ᛫,N,~,NE,,
smoke,,᛫ a cigar ᛫ a cigarette ᛫,N,~,NE,,
smokestack,,᛫ a chimney ᛫,N,~,NE‹(E+N),,
smolt,,᛫ lard ᛫,N,smolt[smolt],ME,,
smolt,,᛫ serene ᛫ tranquil ᛫,AJ,smolt,ME,,
smore,,᛫ to suffocate ᛫,V,smore&smorian,NE&OE,,
smother,smoðer,᛫ a mass of something that stifles or obscures ᛭ to cover with a suffocating effect ᛫ to braise ( stove-top style ) ᛫,N᛭V,~,NE,,
smow,smue,᛫ to creep ᛫ to crawl ᛫,V,smūȝen[smūgan],ME,rhyme: now,
snake,,᛫ a serpent ᛫,N,~,NE,,
snakebird,,"᛫ an Anhingidae bird ( a darter , an anhinga ) ᛫",N,~,NE,[OED],
snakefear,,᛫ ophidiophobia ᛫,N,snake+fear,NE×2,,
snapper,,᛫ a castanet ᛫,N,~,ANE‹HG,[OED],
snapshot,snapscot,᛫ a picture ( esp when taken hastily ) ᛫ a glimpse ᛫ a brief portrayal ᛫,N,~,NE‹(NL+E),or: shot (for short),
snarch,snarc,᛫ to shrivel ᛫ to dehydrate ᛫,V,snarchen&sneorcan,ME&OE,,
snark,,᛫ irreverence ᛫ sarcasm ᛫ impertinence ᛫,N,~,NE,,
snatch,snac,᛫ a fragment of something ᛫ a small piece of something ᛫ a vagina ( slang ) ᛫,N,~,NE,,
snead,,᛫ a cut ᛫ a slice ᛫ a morsel ᛭ to cut to pieces ᛫ to slice to shreds ᛫,N᛭V,snead&tọ̄̆snēden,NE&ME,,
snead,,᛫ the handle of a scythe ᛫,N,snǣd{snēde},OE,,
sneakers,,᛫ trainers ᛫,N,~,NE,,
sneem,,᛫ swiftly ᛫ rapidly ᛫ quickly ᛫ immediately ᛫ at once ᛫,ADV,snēome,OE,,
snell,,᛫ quick ᛫ fast ᛫ rapid ᛫,AJ,~[snel],NE,,
snid,,᛫ an incision ᛫,N,snide,OE,,
snide,,᛫ counterfeit ᛫,AJ,~,NE,,
snidiron,,᛫ a lancet ᛫,N,snidīsen,OE,"means ""incision iron""?",
snike,,᛫ to crawl ᛫ to creep ᛫ to sneak ᛫,V,snīcan,OE,possibly redundant,
snit,,᛫ a fit of rage ᛫ a tantrum ᛫,N,~,NE‹?,,
snite,,᛫ a snipe ᛫ a Gallinago gallinago bird ᛫ a Lymnocryptes minima bird ᛫,N,snite[snīte/snyghte],NE,,
snite,,᛫ to blow one's nose ᛫ to blow or snuff out a candle ᛫,V,snite&snīten[snȳtan],NE&ME,,
sniter,,᛫ a sniper ᛫,N,snite+er,NE×2,"""snipe"" is Norse",
snithe,sniðe,᛫ to cut ᛫ to slice ᛫ to amputate ᛫,V,snithe&snīþan,NE&OE,,
snithy,sniðig,᛫ cutting ᛫ sharp ᛫,AJ,~,NE,,
snitter,,᛫ prudence ᛫ sagacity ᛫,N,snitere&snytro,ME&OE,,
snood,,᛫ a band ribbon cap or hat for keeping hair in place ᛫,N,~[snōd],NE,,
snore,,᛫ daughter-in-law ᛫ a sister-in-law ᛫,N,snore&snoru,ME&OE,,
snoter,,᛫ prudent ᛫ sagacious ᛫,AJ,snoter[snotor],ME,,
snoterly,snoterlig,᛫ wise ᛫ prudent ᛫ philosophical ᛭ wisely ᛫ prudently ᛫ philosophically ᛫,AJ᛭AV,snotorlīc&snotorlīce,OE,,
snoterness,,᛫ wisdom ᛫ intelligence ᛫ spiritual enlightenment ᛫,N,snoterness,ME,,
Snottingham,,᛫ Nottingham ᛫,N,Snotingahām,OE,SN to N linked to French,
snoud,snude,᛫ quickly ᛫ swiftly ᛫,AJ᛭AV,snūde,OE,,
snow moon,snoƿ,᛫ a full moon in February ᛫,N,~,NE,[CED],
snowhen,snoƿhen,᛫ a Lagopus bird ( a ptarmigan ) ᛫,N,snow+hen,NE×2,calque: sneeuwhoen; Schneehuhn,
snowhouse,snoƿhuse,᛫ an igloo ᛫,N,snow-house,NE,[OED],
snowslide,snoƿslide,᛫ an avalanche ᛫,N,~,NE,[MW],
snowsparrow,snoƿsparroƿ,᛫ a Junco bird ᛫,N,snow sparrow,NE,[OED],
snowstorm,snoƿstorm,᛫ a blizzard ᛫,N,~,NE,,
snowwood,snoƿƿood,᛫ a stretch of taiga ᛫,N,snow+wood,NE+NE,,
snug,,᛫ trim ᛫ close-fitting ᛫ comfortable ᛫ cozy ᛫ cosy ᛫,AJ,~,NE,,
so as to,,᛫ in order to ᛫,AV,~,NE,,
so say,sag,᛫ according to ᛫,V,~,NE,"""They're green, so says John.""",
soaksome,soaksum,᛫ bibulous ᛫,AJ,soak+some,NE×2,invented by William Barnes,
soal,,᛫ a dirty pond ᛫ mire ᛫ mud ᛫,N,sol,OE,,
Soalmonth,Soalmonð,᛫ February ᛫,N(P),Solmonaþ,OE,of note: Sowlegrove,
soapapple,soapappel,᛫ a Chlorogalum pomeridianum plant ᛫,N,~,NE,,
sodden,,᛫ soaked ᛫ saturated with liquid ᛫ having drunk an excessive amount of something ᛫,AJ,~,NE,,
soft,,᛫ tender ᛫ supple ᛫ quiet ᛫ faint ᛫ calm ᛫ gentle ᛫ non-alcoholic ( of drinks ) ᛫,AJ,~,NE,,
softhail,softhagl,᛫ graupel ᛫,N,soft-hail,NE,[OED],
softhearted,,᛫ kind ᛫ tender ᛫ compassionate ᛫ charitable ᛫,AJ,~,NE,[OED],
softshaded,softscaded,᛫ pastel ( of a soft and delicate shade of a colour ) ᛫,AJ,soft+shade+ed,NE×3,,
softship,softscip,᛫ a situation marked by ease comfort or convenience ᛫ the opposite of hardship ᛫,N,~,NE,,
software,softƿare,᛫ the programs and other operating information used by a computer ᛫,N,~,NE,,
sokeman,,᛫ one who holds soken rights ᛫,N,~,NE,,
soken,,᛫ a search ᛫ a search for levying fees and fines ᛫ a district under the jurisdiction of such searches ᛫,N,soke&socn,NE&OE,or: soke,
sole,,᛫ a rope or a wooden yoke ( esp one used to tether cattle ) ᛫,N,sōl[sāl],ME,,
sole,,᛫ to soil ᛫ to dirty ᛫ to sully ᛭ soiled ᛫ dirty ᛫ sullied ᛫,V᛭AJ,sōle&sole[sol],ME&ME,,
solken,,᛫ slothful ᛫ indolent ᛫ lazy ᛫,AJ,āsolcen,OE,,
some,sum,᛫ -ous (suffix of characterization) ᛫,SUFFIX,~,NE,,
somedeal,sumdeal,᛫ partial ᛭ partly ᛫ partially ᛫,AJ᛭AV,somedeal&somedel,NE&ME,,
somewhat,sumhƿat,᛫ to a degree ᛫ partially ᛫ quite ᛫,AJ,~,NE,,
somewhen,sumhƿen,᛫ at some time ᛫,AV,~,NE,[CED],
somewhence,sumhƿense,᛫ from somewhere ᛫,AV,~,NE,[CED],
somewhy,sumhƿi,᛫ for some reason ᛫,AV,~,NE,,
songbook,,᛫ a book of songs ( esp hymns ) ᛫ a collection of songs ᛫ a musical album [ᚹ] ᛫,N,~,NE,,
son-of-the-sun,sun-of-þe-sun,᛫ a Fregatidae bird ( a frigatebird ) ᛫,N,~,NE,,
sonsdaughter,sonsdaugter,᛫ a paternal granddaughter ᛫,N,son+daughter,NE×2,inspired by: sunsunu; dohtorsunu,
sonson,,᛫ a paternal grandson ᛫,N,sunsunu,OE,,
sool,,᛫ the sun ᛫,N,sōl,OE,,
soom,,᛫ agreement ᛫ concord ᛫,N,sōme[sōm],ME,,
soom,,᛫ united ᛫ unified ᛫,AJ,gesōm,OE,,
soon,,᛫ music ᛫,N,sōn[I sonus],OE‹I,,
sooncraft,,᛫ the art of music ᛫,N,sōncræft,OE‹(I+E),,
soot,,᛫ aromatic ᛫ fragrant ᛭ aromatically ᛫ fragrantly ᛫,AV,sọ̄t&sọ̄te[swōt&swōte],ME,"""Swete and swote bothe in fere"" (Cmb Ff.2.38)",
sooth,sooð,᛫ truth ᛫ reality ᛭ real ᛫ true (as in factually accurate ) ᛫,N᛭AJ,~,NE,[CED],
soothbound,sooðbund,᛫ bound to fact ᛫ objective ᛫,AJ,sooth+bound,NE×2,,
soothe,sooð,᛫ to gently calm ᛫ to relieve or ease pain ᛫ to verify ᛫ to prove ᛫ to confirm ᛫,V,soothe&sōþian,NE&OE,,
soother,sooðer,᛫ a pacifier ᛫ a verifier ᛫ a confirmer ᛫,N,soothe&sōþian+er,NE&OE+NE,,
soothfast,sooðfast,᛫ real ᛫ actual ᛫ veracious ᛫ genuine ᛫,AJ,soothfast&sōthfast,NE&ME,,
soothing,sooðing,᛫ relaxing ᛫ calming ᛫ relieving ᛫ calmative ᛫,AJ,~,NE,,
soothless,sooðless,᛫ false ᛫,AJ,~,NE,,
soothly,sooðlig,᛫ truly ᛫ verily ᛫ actually ᛫ really ᛭ amen ᛫,AV᛭I,~[sōthlī],NE,,
soothquid,sooðcƿid,᛫ a true saying ᛫ a fact ᛫,N,sōþcwide,OE,,
soothsaw,sooðsaƿ,᛫ a true saying ᛫ a proverb ᛫ a maxim ᛫,N,sothsau,ME,,
soothsawl,sooðsaƿl,᛫ veracious ᛫ truth saying ᛫,AJ,sọ̄thsawel/sọ̄thsagel,ME,,
soothsay,sooðsag,᛫ to predict ᛫ to prophesy ᛫,V,~,NE,,
soothsayer,sooðsager,᛫ a prophet ᛫ a prognosticator ᛫ the mantis ᛫,N,~,NE,,
soothspel,sooðspel,᛫ a true story ᛫ history ᛫,N,sōþspell,OE,,
soothy,sooðig,᛫ sincere ᛫ authentic ᛫ actual ᛫,AJ,sōþlic,OE,,
sope,,᛫ a small amount of drink ᛫,N,sope[sopa],ME,,
sorely,sorelig,᛫ very ( usually in a negative sense ) ᛫,AV,~,NE,,
sorry,sorrig,᛫ contrite ᛫,AJ,~,NE,,
sotship,sotscip,᛫ folly ᛫,N,sotship,ME,,
sough,suge,"᛫ a moaning , whistling , or rushing sound like that of wind or water ᛭ to make a sough ᛫",N᛭V,sough&swǒugh[swōgan],NE&ME,rhyme: plough; tough (American English only?),
sought,sugt,᛫ sickness ᛫,N,sought[suht],ME,rhyme: pout,
soulkind,,᛫ spiritual ᛫,AJ,sāwelcund,OE,,
soullattew,soullatteƿ,"᛫ a psychopomp ( a spirit , deity , or person who guides the souls of the dead to the afterlife ) ᛫",N,soul+lattew,NE×2,equal to: soul-guide,
sound,sund,᛫ secure ᛫ healthy ᛫ valid ᛫ safe ᛫,AJ,~,NE,,
sound,sund,᛫ the power of swimming ᛫ a narrow inlet ᛫ a strait connecting two wider areas of water ᛫,N,sound&sund,NE&OE,,
soundness,sundness,᛫ security ᛫ safety ᛫ robustness ᛫ competence ᛫ reliability ᛫,N,~,NE,,
sour,sure,᛫ acid ᛭ acidic ᛫,N,zuur,NL,,
sourcole,surecole,᛫ fermented cabbage ᛫ sauerkraut ᛫,N,sour+cole,NE×2,calque: Sauerkraut,
sourdock,suredock,᛫ a Rumex acetosa plant ( sorrel ) ᛫,N,~,NE,,
souren,suren,᛫ to acidify ᛫,V,sour+en,NE×2,,
soursop,suresop,᛫ the fruit of an Annona muricata tree ᛫ a guanabana ᛫,N,~,NE,,
South Africk,Suðe Africk,᛫ South Africa ᛫,N(P),south+Affrica,NE+OE‹I,,
southen,suðen,᛫ from the south ᛫,AV,sūþan,OE,,
southern lights,ligts,᛫ the aurora australis ᛫,N,~,NE,,
Southumber,Suðumber,᛫ Southumbria ᛫ the Southumbrians ᛫,N(P),Sūþanhymbre,OE‹(E+C),,
Southumberrich,Suðumberric,᛫ the Kingdom of Southumbria ( Mercia ? ) ᛫,N(P),Sūþanhymbre rīce,OE‹(E+C+C),,
sow,sue,᛫ to suffer ᛫ to make something suffer ᛫,V,sǒuen,ME,,
sow,sue,᛫ an adult female pig ᛫ a siege engine used to shelter wall miners ᛫,N,sow&sǒue,NE&ME,second meaning is a calque of Latin,
sowbread,suebread,᛫ a Cyclamen plant ᛫,N,~,NE,[OED],
sowel,soƿel,᛫ a pole ᛫ a post ᛫,N,souel,ME,,
sowl,sule,"᛫ something eaten with bread , such as meat , pottage , a sauce , etc ᛫ any topping or sauce that goes with bread ᛫",N,sǒuel[sufel],ME,,
spadefish,spadefisc,᛫ a disc-shaped fish ᛫,N,~,NE,,
span,,᛫ an extent ᛭ to extend ᛫,N᛭V,~,NE,,
span,,᛫ to allure ᛫ to entice ᛫ to incite ᛫ to induce ᛫ to seduce ᛫,V,spannen+bespanan,ME+OE,"""OE spanan confused with spannan."" - MEC",
spane,,᛫ to allure ᛫ to lure ᛫ to entice ᛫,V,spanan{forspannen},OE,,
spangle,spangel,᛫ a sequin ᛫,N,~,NE‹NL?,,
Spanishman,Spaniscman,᛫ a Spaniard ᛫,N(P),~,NE,,
Spany,Spani,᛫ Spain ᛫,N(P),Ispania,OE,,
spar,,᛫ a piece of timber used in building ᛫ a rafter ᛫ a beam ᛫ a pole or post used as a weapon or bar ᛭ to lock with a spar ᛫,N᛭V,sparre,ME,,
